time,power,energy
0,50,0
5,570,0.4305555555555555
10,570,1.222222222222222
15,570,2.013888888888889
20,570,2.8055555555555554
25,570,3.597222222222222
30,570,4.388888888888888
35,570,5.180555555555555
40,570,5.972222222222222
45,570,6.763888888888889
50,570,7.555555555555556
55,570,8.347222222222223
60,570,9.13888888888889
65,570,9.930555555555555
70,570,10.722222222222221
75,570,11.513888888888888
80,570,12.305555555555554
85,570,13.09722222222222
90,570,13.888888888888886
95,570,14.680555555555552
100,570,15.472222222222218
105,570,16.263888888888886
110,570,17.055555555555554
115,570,17.84722222222222
120,570,18.63888888888889
125,570,19.430555555555557
130,570,20.222222222222225
135,570,21.013888888888893
140,570,21.80555555555556
145,570,22.59722222222223
150,570,23.388888888888896
155,570,24.180555555555564
160,570,24.972222222222232
165,570,25.7638888888889
170,570,26.555555555555568
175,570,27.347222222222236
180,570,28.138888888888903
185,570,28.93055555555557
190,570,29.72222222222224
195,570,30.513888888888907
200,570,31.305555555555575
205,570,32.09722222222224
210,570,32.88888888888891
215,570,33.68055555555557
220,570,34.472222222222236
225,570,35.2638888888889
230,570,36.055555555555564
235,570,36.84722222222223
240,570,37.63888888888889
245,570,38.43055555555556
250,570,39.22222222222222
255,570,40.013888888888886
260,570,40.80555555555555
265,570,41.597222222222214
270,570,42.38888888888888
275,570,43.18055555555554
280,570,43.97222222222221
285,570,44.76388888888887
290,570,45.555555555555536
295,570,46.3472222222222
300,570,47.138888888888864
305,570,47.93055555555553
310,570,48.72222222222219
315,570,49.51388888888886
320,570,50.30555555555552
325,570,51.097222222222186
330,570,51.88888888888885
335,570,52.680555555555515
340,570,53.47222222222218
345,570,54.26388888888884
350,570,55.05555555555551
355,570,55.84722222222217
360,570,56.638888888888836
365,570,57.4305555555555
370,570,58.222222222222165
375,570,59.01388888888883
380,570,59.80555555555549
385,570,60.59722222222216
390,570,61.38888888888882
395,570,62.180555555555486
400,570,62.97222222222215
405,570,63.763888888888815
410,570,64.55555555555549
415,570,65.34722222222216
420,570,66.13888888888883
425,570,66.9305555555555
430,570,67.72222222222217
435,570,68.51388888888884
440,570,69.30555555555551
445,570,70.09722222222219
450,570,70.88888888888886
455,570,71.68055555555553
460,570,72.4722222222222
465,570,73.26388888888887
470,570,74.05555555555554
475,570,74.84722222222221
480,570,75.63888888888889
485,570,76.43055555555556
490,570,77.22222222222223
495,570,78.0138888888889
500,570,78.80555555555557
505,570,79.59722222222224
510,570,80.38888888888891
515,570,81.18055555555559
520,570,81.97222222222226
525,570,82.76388888888893
530,570,83.5555555555556
535,570,84.34722222222227
540,570,85.13888888888894
545,570,85.93055555555561
550,570,86.72222222222229
555,570,87.51388888888896
560,570,88.30555555555563
565,570,89.0972222222223
570,570,89.88888888888897
575,570,90.68055555555564
580,570,91.47222222222231
585,570,92.26388888888899
590,570,93.05555555555566
595,570,93.84722222222233
600,570,94.638888888889
605,570,95.43055555555567
610,570,96.22222222222234
615,570,97.01388888888901
620,570,97.80555555555569
625,570,98.59722222222236
630,570,99.38888888888903
635,570,100.1805555555557
640,570,100.97222222222237
645,570,101.76388888888904
650,570,102.55555555555571
655,570,103.34722222222238
660,570,104.13888888888906
665,570,104.93055555555573
670,570,105.7222222222224
675,570,106.51388888888907
680,570,107.30555555555574
685,570,108.09722222222241
690,570,108.88888888888908
695,570,109.68055555555576
700,570,110.47222222222243
705,570,111.2638888888891
710,570,112.05555555555577
715,570,112.84722222222244
720,570,113.63888888888911
725,570,114.43055555555578
730,570,115.22222222222246
735,570,116.01388888888913
740,570,116.8055555555558
745,570,117.59722222222247
750,570,118.38888888888914
755,570,119.18055555555581
760,570,119.97222222222248
765,570,120.76388888888916
770,570,121.55555555555583
775,570,122.3472222222225
780,570,123.13888888888917
785,570,123.93055555555584
790,570,124.72222222222251
795,570,125.51388888888918
800,570,126.30555555555586
805,570,127.09722222222253
810,570,127.8888888888892
815,570,128.68055555555586
820,570,129.4722222222225
825,570,130.26388888888917
830,570,131.05555555555583
835,570,131.84722222222248
840,570,132.63888888888914
845,570,133.4305555555558
850,570,134.22222222222246
855,570,135.0138888888891
860,570,135.80555555555577
865,570,136.59722222222243
870,570,137.38888888888908
875,570,138.18055555555574
880,570,138.9722222222224
885,570,139.76388888888906
890,570,140.5555555555557
895,570,141.34722222222237
900,570,142.13888888888903
905,570,142.93055555555569
910,570,143.72222222222234
915,570,144.513888888889
920,570,145.30555555555566
925,570,146.0972222222223
930,570,146.88888888888897
935,570,147.68055555555563
940,570,148.47222222222229
945,570,149.26388888888894
950,570,150.0555555555556
955,570,150.84722222222226
960,570,151.6388888888889
965,570,152.43055555555557
970,570,153.22222222222223
975,570,154.01388888888889
980,570,154.80555555555554
985,570,155.5972222222222
990,570,156.38888888888886
995,570,157.18055555555551
1000,570,157.97222222222217
1005,570,158.76388888888883
1010,570,159.5555555555555
1015,570,160.34722222222214
1020,570,161.1388888888888
1025,570,161.93055555555546
1030,570,162.72222222222211
1035,570,163.51388888888877
1040,570,164.30555555555543
1045,570,165.0972222222221
1050,570,165.88888888888874
1055,570,166.6805555555554
1060,570,167.47222222222206
1065,570,168.26388888888872
1070,570,169.05555555555537
1075,570,169.84722222222203
1080,570,170.6388888888887
1085,570,171.43055555555534
1090,570,172.222222222222
1095,570,173.01388888888866
1100,570,173.80555555555532
1105,570,174.59722222222197
1110,570,175.38888888888863
1115,570,176.1805555555553
1120,570,176.97222222222194
1125,570,177.7638888888886
1130,570,178.55555555555526
1135,570,179.34722222222192
1140,570,180.13888888888857
1145,570,180.93055555555523
1150,570,181.7222222222219
1155,570,182.51388888888854
1160,570,183.3055555555552
1165,570,184.09722222222186
1170,570,184.88888888888852
1175,570,185.68055555555517
1180,570,186.47222222222183
1185,570,187.2638888888885
1190,570,188.05555555555515
1195,570,188.8472222222218
1200,570,189.63888888888846
1205,570,190.43055555555512
1210,570,191.22222222222177
1215,570,192.01388888888843
1220,570,192.8055555555551
1225,570,193.59722222222175
1230,570,194.3888888888884
1235,570,195.18055555555506
1240,570,195.97222222222172
1245,570,196.76388888888837
1250,570,197.55555555555503
1255,570,198.3472222222217
1260,570,199.13888888888835
1265,570,199.930555555555
1270,570,200.72222222222166
1275,570,201.51388888888832
1280,570,202.30555555555497
1285,570,203.09722222222163
1290,570,203.8888888888883
1295,570,204.68055555555495
1300,570,205.4722222222216
1305,570,206.26388888888826
1310,570,207.05555555555492
1315,570,207.84722222222157
1320,570,208.63888888888823
1325,570,209.4305555555549
1330,570,210.22222222222155
1335,570,211.0138888888882
1340,570,211.80555555555486
1345,570,212.59722222222152
1350,570,213.38888888888818
1355,570,214.18055555555483
1360,570,214.9722222222215
1365,570,215.76388888888815
1370,570,216.5555555555548
1375,570,217.34722222222146
1380,570,218.13888888888812
1385,570,218.93055555555478
1390,570,219.72222222222143
1395,570,220.5138888888881
1400,570,221.30555555555475
1405,570,222.0972222222214
1410,570,222.88888888888806
1415,570,223.68055555555472
1420,570,224.47222222222138
1425,570,225.26388888888803
1430,570,226.0555555555547
1435,570,226.84722222222135
1440,570,227.638888888888
1445,570,228.43055555555466
1450,570,229.22222222222132
1455,570,230.01388888888798
1460,570,230.80555555555463
1465,570,231.5972222222213
1470,570,232.38888888888795
1475,570,233.1805555555546
1480,570,233.97222222222126
1485,570,234.76388888888792
1490,570,235.55555555555458
1495,570,236.34722222222123
1500,570,237.1388888888879
1505,570,237.93055555555455
1510,570,238.7222222222212
1515,570,239.51388888888786
1520,570,240.30555555555452
1525,570,241.09722222222118
1530,570,241.88888888888783
1535,570,242.6805555555545
1540,570,243.47222222222115
1545,570,244.2638888888878
1550,570,245.05555555555446
1555,570,245.84722222222112
1560,570,246.63888888888778
1565,570,247.43055555555443
1570,570,248.2222222222211
1575,570,249.01388888888775
1580,570,249.8055555555544
1585,570,250.59722222222106
1590,570,251.38888888888772
1595,570,252.18055555555438
1600,570,252.97222222222103
1605,570,253.7638888888877
1610,570,254.55555555555435
1615,570,255.347222222221
1620,570,256.13888888888766
1625,570,256.93055555555435
1630,570,257.72222222222103
1635,570,258.5138888888877
1640,570,259.3055555555544
1645,570,260.0972222222211
1650,570,260.8888888888878
1655,570,261.68055555555446
1660,570,262.47222222222115
1665,570,263.26388888888783
1670,570,264.0555555555545
1675,570,264.8472222222212
1680,570,265.6388888888879
1685,570,266.4305555555546
1690,570,267.22222222222126
1695,570,268.01388888888795
1700,570,268.80555555555463
1705,570,269.5972222222213
1710,570,270.388888888888
1715,570,271.1805555555547
1720,570,271.9722222222214
1725,570,272.76388888888806
1730,570,273.55555555555475
1735,570,274.34722222222143
1740,570,275.1388888888881
1745,570,275.9305555555548
1750,570,276.7222222222215
1755,570,277.5138888888882
1760,570,278.30555555555486
1765,570,279.09722222222155
1770,570,279.88888888888823
1775,570,280.6805555555549
1780,570,281.4722222222216
1785,570,282.2638888888883
1790,570,283.055555555555
1795,570,283.84722222222166
1800,570,284.63888888888835
1805,570,285.43055555555503
1810,570,286.2222222222217
1815,570,287.0138888888884
1820,570,287.8055555555551
1825,570,288.5972222222218
1830,570,289.38888888888846
1835,570,290.18055555555515
1840,570,290.97222222222183
1845,570,291.7638888888885
1850,570,292.5555555555552
1855,570,293.3472222222219
1860,570,294.1388888888886
1865,570,294.93055555555526
1870,570,295.72222222222194
1875,570,296.51388888888863
1880,570,297.3055555555553
1885,570,298.097222222222
1890,570,298.8888888888887
1895,570,299.6805555555554
1900,570,300.47222222222206
1905,570,301.26388888888874
1910,570,302.05555555555543
1915,570,302.8472222222221
1920,570,303.6388888888888
1925,570,304.4305555555555
1930,570,305.2222222222222
1935,570,306.01388888888886
1940,570,306.80555555555554
1945,570,307.59722222222223
1950,570,308.3888888888889
1955,570,309.1805555555556
1960,570,309.9722222222223
1965,570,310.76388888888897
1970,570,311.55555555555566
1975,570,312.34722222222234
1980,570,313.138888888889
1985,570,313.9305555555557
1990,570,314.7222222222224
1995,570,315.5138888888891
2000,570,316.30555555555577
2005,570,317.09722222222246
2010,570,317.88888888888914
2015,570,318.6805555555558
2020,570,319.4722222222225
2025,570,320.2638888888892
2030,570,321.0555555555559
2035,570,321.84722222222257
2040,570,322.63888888888926
2045,570,323.43055555555594
2050,570,324.2222222222226
2055,570,325.0138888888893
2060,570,325.805555555556
2065,570,326.5972222222227
2070,570,327.38888888888937
2075,570,328.18055555555605
2080,570,328.97222222222274
2085,570,329.7638888888894
2090,570,330.5555555555561
2095,570,331.3472222222228
2100,570,332.1388888888895
2105,570,332.93055555555617
2110,570,333.72222222222285
2115,570,334.51388888888954
2120,570,335.3055555555562
2125,570,336.0972222222229
2130,570,336.8888888888896
2135,570,337.6805555555563
2140,570,338.47222222222297
2145,570,339.26388888888965
2150,570,340.05555555555634
2155,570,340.847222222223
2160,570,341.6388888888897
2165,570,342.4305555555564
2170,570,343.2222222222231
2175,570,344.01388888888977
2180,570,344.80555555555645
2185,570,345.59722222222314
2190,570,346.3888888888898
2195,570,347.1805555555565
2200,570,347.9722222222232
2205,570,348.7638888888899
2210,570,349.55555555555657
2215,570,350.34722222222325
